car_type,earth_weight_kg,space_weight_kg,thrust_kN,power_capacity_kWh,engine_class
Sedan,1520,2287,38.2,173.9,Fusion-B
Coupe,1331,1992,38.9,126.0,Ion-B
SUV,1908,2864,79.4,249.5,Fusion-C
Micro,930,1391,22.1,102.8,Ion-A
Transport,2471,3715,107.1,317.2,Plasma-A
Micro,917,1375,31.4,104.0,Ion-A
Transport,2732,4094,100.9,313.1,Plasma-A
SUV,1938,2915,73.5,238.4,Fusion-C
SUV,1820,2727,76.1,262.3,Fusion-C
Coupe,1272,1900,40.0,145.2,Ion-B
Transport,2509,3758,93.6,328.9,Plasma-A
Sedan,1556,2333,42.7,185.1,Fusion-B
Coupe,1339,2012,37.6,114.4,Ion-B
SUV,1933,2902,76.9,190.2,Fusion-C
Sedan,1538,2313,48.6,143.9,Fusion-B
SUV,1917,2876,69.4,244.3,Fusion-C
Coupe,1211,1822,31.2,118.9,Ion-B
SUV,2063,3096,59.3,184.9,Fusion-C
Sedan,1453,2185,42.8,187.5,Fusion-B
Micro,933,1391,21.4,93.7,Ion-A
Coupe,1386,2086,29.8,92.8,Ion-B
SUV,2148,3220,61.0,182.5280644481887,Fusion-C
SUV,2135,3193,75.3,204.5,Fusion-C
Micro,1017,1521,31.7,82.0,Ion-A
Sedan,1426,2148,51.1,199.0,Fusion-B
SUV,2043,3057,76.5,245.5,Fusion-C
Sedan,1493,2249,39.3,156.7,Fusion-B
Micro,939,1401,29.4,88.9,Ion-A
Micro,960,1434,19.9,110.3,Ion-A
Coupe,1341,2015,38.7,116.5,Ion-B
SUV,1821,2741,67.0,234.5,Fusion-C
Sedan,1433,2157,50.1,187.7,Fusion-B
Transport,2317,3479,82.4,321.8,Plasma-A
SUV,1928,2899,67.0,182.5280644481887,Fusion-C
SUV,1860,2786,66.5,216.1,Fusion-C
Coupe,1343,2009,38.9,135.7,Ion-B
SUV,2106,3164,73.0,257.3,Fusion-C
Micro,1096,1643,22.8,94.1,Ion-A
Transport,2503,3754,116.1,331.9,Plasma-A
Transport,2780,4176,77.4,262.9,Plasma-A
Micro,932,1404,24.2,182.5280644481887,Ion-A
Transport,2614,3927,112.1,300.6,Plasma-A
Sedan,1538,2303,54.9,159.1,Fusion-B
SUV,1915,2873,63.6,219.8,Fusion-C
Transport,2562,3842,106.8,350.1,Plasma-A
Transport,2242,3357,95.9,276.9,Plasma-A
Transport,2517,3777,103.6,360.6,Plasma-A
SUV,2090,3134,67.9,208.1,Fusion-C
Sedan,1530,2299,51.0,148.5,Fusion-B
Coupe,1306,1968,43.6,129.2,Ion-B
Sedan,1582,2366,44.7,203.1,Fusion-B
SUV,2021,3037,75.6,263.2,Fusion-C
Coupe,1312,1960,42.8,129.1,Ion-B
Sedan,1587,2388,59.3,151.5,Fusion-B
Coupe,1222,1830,40.2,157.8,Ion-B
Micro,1004,1496,22.9,111.4,Ion-A
Sedan,1548,2315,53.6,164.6,Fusion-B
Coupe,1379,2071,44.7,182.5280644481887,Ion-B
SUV,2180,3268,71.5,210.0,Fusion-C
Sedan,1458,2182,50.0,168.6,Fusion-B
SUV,2021,3028,67.6,179.9,Fusion-C
Transport,2639,3955,115.7,336.4,Plasma-A
Coupe,1223,1836,37.6,123.3,Ion-B
SUV,2091,3141,67.3,203.2,Fusion-C
Sedan,1581,2366,51.0,187.0,Fusion-B
SUV,1900,2846,78.3,180.8,Fusion-C
Transport,2471,3701,121.6,286.0,Plasma-A
Micro,1033,1553,22.5,94.1,Ion-A
Sedan,1443,2167,52.1,199.1,Fusion-B
Micro,984,1484,22.7,93.8,Ion-A
Sedan,1506,2255,50.1,166.3,Fusion-B
Coupe,1351,2027,37.6,144.8,Ion-B
Sedan,1484,2220,46.8,162.4,Fusion-B
Sedan,1554,2330,58.3,186.2,Fusion-B
SUV,1881,2815,80.2,233.8,Fusion-C
SUV,2053,3077,67.0,230.6,Fusion-C
Transport,2405,3612,91.6,337.2,Plasma-A
Transport,2602,3908,101.6,293.4,Plasma-A
Sedan,1493,2233,52.1,178.2,Fusion-B
SUV,1826,2739,63.4,210.9,Fusion-C
Coupe,1334,2007,36.8,134.2,Ion-B
Micro,958,1428,32.2,107.4,Ion-A
Coupe,1338,2014,35.5,108.8,Ion-B
Transport,2216,3322,88.3,285.5,Plasma-A
SUV,1815,2714,69.2,216.3,Fusion-C
Micro,927,1398,21.5,76.6,Ion-A
Coupe,1342,2021,31.8,110.2,Ion-B
Micro,959,1441,29.3,103.7,Ion-A
Micro,1073,1613,27.4,118.5,Ion-A
Coupe,1270,1911,34.8,144.2,Ion-B
Coupe,1220,1821,41.7,153.9,Ion-B
Sedan,1406,2113,43.5,166.3,Fusion-B
SUV,1847,2762,57.8,190.2,Fusion-C
Coupe,1342,2021,34.8,139.4,Ion-B
Transport,2451,3676,78.0,327.2,Plasma-A
SUV,2023,3040,78.4,228.9,Fusion-C
Micro,981,1472,22.4,114.9,Ion-A
Transport,2482,3715,91.9,337.4,Plasma-A
Transport,2315,3464,84.0,270.2,Plasma-A
Transport,2591,3890,102.7,259.5,Plasma-A
Sedan,1568,2349,48.4,166.7,Fusion-B
Transport,2317,3476,115.2,307.9,Plasma-A
Coupe,1211,1811,44.0,135.0,Ion-B
SUV,2183,3270,75.6,209.5,Fusion-C
Coupe,1381,2075,32.2,110.0,Ion-B
SUV,2091,3132,72.7,191.7,Fusion-C
Micro,954,1423,27.4,92.6,Ion-A
Transport,2529,3790,106.4,301.4,Plasma-A
Coupe,1303,1951,41.5,149.4,Ion-B
SUV,2022,3032,62.4,252.7,Fusion-C
SUV,2165,3240,60.8,201.2,Fusion-C
SUV,1973,2966,67.0,240.9,Fusion-C
Transport,2379,3563,91.0,290.3,Plasma-A
Micro,1073,1600,25.1,127.1,Ion-A
Coupe,1272,1901,41.9,112.1,Ion-B
Sedan,1569,2363,56.5,173.3,Fusion-B
Micro,931,1393,24.3,83.1,Ion-A
SUV,2020,3029,69.7,237.7,Fusion-C
Coupe,1369,2059,35.4,98.2,Ion-B
Micro,996,1494,21.6,119.3,Ion-A
Transport,2533,3795,97.7,325.4,Plasma-A
Micro,906,1364,27.4,86.3,Ion-A
Micro,932,1396,30.0,105.1,Ion-A
Transport,2713,4075,97.7,261.2,Plasma-A
