car_type,car_model,engine_class,chassis_weight_kg,moment_of_inertia,engine_weight_kg,thruster_weight_kg,fuel_weight_kg,starting_fuel_kWh,fuel_type,energy_density_MJ_per_kg,mass_density_kg_per_L,total_thrust_kN,thrust_rear_kN,thrust_front_kN,thrust_side_kN,FOV_Threat_Count,Min_Distance_In_FOV,FOV_Density,FOV_Front_Cone_Threat_Count,Angle_Weighted_Density,Threats_Left_Sector,Threats_Right_Sector,Average_Threat_Angle_Offset,heading_deg,previous_heading_deg,test_id,test_date,assigned_by,mission_type,crew_status,navigation_mode,origin_station,destination_station,car_color,last_telemetry_message,ship_serial_number
Micro,Nimbus X1,Plasma-A,700,0.8,127,81,170,149.0,PlasmaCell,6.7,1.3,45.6,27.4,13.7,4.6,3,5.55,0.12,1,0.72,5,4,37.8,229,301,CASE-1824-A,4025-02-07,Dr. Calix Renner,commute,automated,auto,Vega Spire,Cerebra Ring,LightSalmon,Power levels nominal. Adjusting trajectory.,CXS-5557-HH
Sedan,Stratos M2,Ion-A,950,1.2,200,144,187,155.6,FusionCore,8.4,1.6,48.6,29.2,14.6,4.9,5,6.43,0.83,5,0.46,0,3,7.1,150,321,CASE-1679-V,4025-02-12,Elia Vorn,commute,automated,auto,Helion Hub,Vega Spire,YellowGreen,Clear path confirmed. Continuing cruise.,CXS-6925-CS
Micro,Nimbus X1,Fusion-B,700,0.8,132,84,269,145.6,IonGel,5.2,1.1,51.6,31.0,15.5,5.2,5,2.46,0.42,5,0.27,5,5,6.4,325,87,CASE-520-A,4025-05-15,Elia Vorn,commute,automated,auto,Vega Spire,Cryon Reach,DarkGoldenRod,Clear path confirmed. Continuing cruise.,CXS-9751-GH
Micro,Nimbus X1,Plasma-A,700,0.8,135,90,197,154.0,FusionCore,8.4,1.6,77.0,46.2,23.1,7.7,5,4.61,0.16,4,0.88,2,1,59.0,202,329,CASE-9863-A,4025-01-26,Dr. Calix Renner,commute,automated,auto,Cryon Reach,Helion Hub,Gray,Fuel low. Navigating around debris.,CXS-8517-WU
Sedan,Stratos M2,Plasma-A,950,1.2,213,108,290,212.3,IonGel,5.2,1.1,50.5,30.3,15.1,5.1,1,7.8,0.87,1,0.63,5,3,53.7,197,195,CASE-8928-N,4025-09-16,Tamsin Ryx,commute,automated,auto,Cerebra Ring,Helion Hub,Indigo,Fuel low. Navigating around debris.,CXS-8668-OS
Micro,Nimbus X1,Fusion-B,700,0.8,136,115,274,244.1,IonGel,5.2,1.1,67.3,40.4,20.2,6.7,7,1.03,0.75,5,0.26,4,1,45.7,54,320,CASE-106-Y,4025-07-06,Elia Vorn,commute,automated,auto,Zenthar Relay,Helion Hub,DimGray,Re-routing due to unstable path.,CXS-5889-WN
Micro,Nimbus X1,Fusion-B,700,0.8,152,118,139,174.8,IonGel,5.2,1.1,46.5,27.9,13.9,4.7,4,3.16,0.32,4,0.95,0,5,43.7,35,272,CASE-4552-E,4025-02-12,Commander Yulo,commute,automated,auto,Lunaris Port,Helion Hub,IndianRed,Power levels nominal. Adjusting trajectory.,CXS-3060-YK
Sedan,Stratos M2,Ion-A,950,1.2,240,135,167,205.5,IonGel,5.2,1.1,64.3,38.6,19.3,6.4,7,2.09,0.3,2,0.02,4,1,53.0,3,36,CASE-1519-M,4025-08-17,Zara Strix,commute,automated,auto,Cryon Reach,Zenthar Relay,DarkGray,Re-routing due to unstable path.,CXS-1964-LL
Sedan,Stratos M2,Plasma-A,950,1.2,188,102,118,202.8,FusionCore,8.4,1.6,51.1,30.7,15.3,5.1,3,8.06,0.83,1,0.09,5,3,31.9,210,239,CASE-4333-Z,4025-10-16,Marshal Keir,commute,automated,auto,Thalos Crossing,Cryon Reach,Brown,Minor vibration detected. Monitoring systems.,CXS-1887-XO
Micro,Nimbus X1,Plasma-A,700,0.8,161,86,203,245.6,IonGel,5.2,1.1,72.0,43.2,21.6,7.2,2,4.8,0.35,1,0.87,0,3,72.7,281,50,CASE-2045-M,4025-09-15,Tamsin Ryx,commute,automated,auto,Vega Spire,Cryon Reach,Cyan,Fuel low. Navigating around debris.,CXS-1828-RJ
Micro,Nimbus X1,Plasma-A,700,0.8,154,80,292,269.7,IonGel,5.2,1.1,46.7,28.0,14.0,4.7,0,9.87,0.34,3,0.29,5,5,89.6,284,338,CASE-5925-S,4025-03-13,Zara Strix,commute,automated,auto,Thalos Crossing,Cryon Reach,GoldenRod,Power levels nominal. Adjusting trajectory.,CXS-8973-WC
Sedan,Stratos M2,Ion-A,950,1.2,204,118,114,215.8,IonGel,5.2,1.1,61.7,37.0,18.5,6.2,8,2.42,0.96,0,0.85,0,4,6.1,120,206,CASE-3733-Y,4025-08-17,Dr. Calix Renner,commute,automated,auto,Helion Hub,Lunaris Port,LightSteelBlue,Minor vibration detected. Monitoring systems.,CXS-2964-CH
Micro,Nimbus X1,Ion-A,700,0.8,135,117,110,223.9,PlasmaCell,6.7,1.3,56.8,34.1,17.0,5.7,6,2.18,0.68,3,0.32,0,0,41.2,288,51,CASE-6227-I,4025-04-09,Tamsin Ryx,commute,automated,auto,Helion Hub,Zenthar Relay,SaddleBrown,Re-routing due to unstable path.,CXS-2200-UL
Micro,Nimbus X1,Ion-A,700,0.8,133,112,133,286.7,FusionCore,8.4,1.6,75.2,45.1,22.6,7.5,8,7.33,0.65,5,0.53,5,4,26.9,339,53,CASE-6065-L,4025-08-27,Axel Orov,commute,automated,auto,Cryon Reach,Helion Hub,HoneyDew,Fuel low. Navigating around debris.,CXS-3200-VI
