car_type,car_model,engine_class,chassis_weight_kg,moment_of_inertia,engine_weight_kg,thruster_weight_kg,fuel_weight_kg,starting_fuel_kWh,fuel_type,energy_density_MJ_per_kg,mass_density_kg_per_L,total_thrust_kN,thrust_rear_kN,thrust_front_kN,thrust_side_kN,FOV_Threat_Count,Min_Distance_In_FOV,FOV_Density,FOV_Front_Cone_Threat_Count,Angle_Weighted_Density,Threats_Left_Sector,Threats_Right_Sector,Average_Threat_Angle_Offset,heading_deg,previous_heading_deg,test_id,test_date,assigned_by,mission_type,crew_status,navigation_mode,origin_station,destination_station,car_color,last_telemetry_message,ship_serial_number
Micro,Nimbus X1,Plasma-A,700,0.8,127,81,170,149.0,PlasmaCell,6.7,1.3,45.6,27.4,13.7,4.6,0,3.109,0.618,5,0.221,0,1,62.8,174,142,CASE-1824-A,4025-07-02,Elia Vorn,commute,automated,auto,Vega Spire,Cerebra Ring,LightSalmon,Minor vibration detected. Monitoring systems.,CXS-3547-HH
Sedan,Stratos M2,Ion-A,950,1.2,223,106,197,119.3,IonGel,5.2,1.1,73.9,44.3,22.2,7.4,5,3.668,0.893,1,0.049,2,0,77.0,51,194,CASE-1679-V,4025-09-04,Dr. Calix Renner,commute,automated,auto,Zenthar Relay,Thalos Crossing,YellowGreen,Clear path confirmed. Continuing cruise.,CXS-5554-CS
SUV,Vortex R7,Fusion-B,1250,1.5,331,193,141,174.0,FusionCore,8.4,1.6,48.4,29.0,14.5,4.8,8,2.452,0.998,3,0.325,0,1,74.0,161,205,CASE-520-A,4025-11-06,Elia Vorn,commute,automated,auto,Zenthar Relay,Cerebra Ring,DarkGoldenRod,Minor vibration detected. Monitoring systems.,CXS-5386-GH
Sedan,Stratos M2,Plasma-A,950,1.2,207,136,180,142.5,PlasmaCell,6.7,1.3,60.0,36.0,18.0,6.0,8,7.687,0.625,1,0.088,0,1,56.5,348,216,CASE-9863-A,4025-04-24,Axel Orov,commute,automated,auto,Thalos Crossing,Vega Spire,Gray,Fuel low. Navigating around debris.,CXS-2040-WU
SUV,Vortex R7,Plasma-A,1250,1.5,298,178,235,150.3,FusionCore,8.4,1.6,62.1,37.3,18.6,6.2,4,4.896,0.982,2,0.76,0,5,26.9,327,259,CASE-8928-N,4025-05-25,Elia Vorn,commute,automated,auto,Lunaris Port,Cerebra Ring,Indigo,Minor vibration detected. Monitoring systems.,CXS-4258-OS
Sedan,Stratos M2,Fusion-B,950,1.2,227,148,238,290.7,IonGel,5.2,1.1,76.9,46.1,23.1,7.7,5,8.382,0.153,0,0.477,4,1,11.6,243,281,CASE-106-Y,4025-01-04,Captain Kael,commute,automated,auto,Lunaris Port,Helion Hub,DimGray,Clear path confirmed. Continuing cruise.,CXS-3705-WN
SUV,Vortex R7,Fusion-B,1250,1.5,317,195,208,292.9,PlasmaCell,6.7,1.3,77.2,46.3,23.2,7.7,4,5.531,0.297,4,0.573,5,5,5.3,34,16,CASE-4552-E,4025-11-21,Axel Orov,commute,automated,auto,Cryon Reach,Cerebra Ring,IndianRed,Clear path confirmed. Continuing cruise.,CXS-6413-YK
Sedan,Stratos M2,Ion-A,950,1.2,245,115,271,197.1,FusionCore,8.4,1.6,61.6,37.0,18.5,6.2,1,4.168,0.856,5,0.099,2,0,22.4,97,274,CASE-1519-M,4025-04-04,Commander Yulo,commute,automated,auto,Thalos Crossing,Vega Spire,DarkGray,Clear path confirmed. Continuing cruise.,CXS-8350-LL
Sedan,Stratos M2,Plasma-A,950,1.2,234,111,218,150.0,FusionCore,8.4,1.6,76.9,46.1,23.1,7.7,0,9.535,0.25,1,0.882,0,3,23.9,232,146,CASE-4333-Z,4025-11-18,Elia Vorn,commute,automated,auto,Thalos Crossing,Cerebra Ring,Brown,Power levels nominal. Adjusting trajectory.,CXS-7930-XO
Micro,Nimbus X1,Plasma-A,700,0.8,166,115,283,197.3,PlasmaCell,6.7,1.3,47.6,28.6,14.3,4.8,7,8.492,0.936,0,0.072,3,0,84.7,291,126,CASE-2045-M,4025-01-02,Dr. Calix Renner,commute,automated,auto,Cryon Reach,Lunaris Port,Cyan,Re-routing due to unstable path.,CXS-1651-RJ
