space_weight_kg,thrust_kN,power_capacity_kWh,engine_class,FOV_Threat_Count,Min_Distance_In_FOV,FOV_Density,FOV_Front_Cone_Threat_Count,Angle_Weighted_Density,Threats_Left_Sector,Threats_Right_Sector,Zone,Average_Threat_Angle_Offset,DangerScore,DangerLabel,FuelUsed,fuel_cost,total_cost,CurrentHeading,PredictedHeading,TurnDirection,AdjustedForThreats,AngleDensity,TurnAngle,MomentumBias,ThreatsLeft,ThreatsRight,Reason,TripScore,Evaluation,Comments
2054,65.6,144.0,Ion-A,0,3.48,0.3,5,0.74,2,1,green,60.9,0.318,Low,0.918,4.59,4.59,71,121,right,True,0.74,50,left,2,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.725,Good,Safe with minor inefficiencies
2092,75.7,153.9,Plasma-A,8,4.8,0.13,0,0.22,4,3,green,45.5,0.404,Medium,2.362,11.81,11.81,15,15,none,False,0.22,0,left,4,3,No threats detected,0.744,Good,Safe with minor inefficiencies
1623,41.1,171.8,Ion-A,8,6.85,0.59,4,0.22,0,4,green,53.0,0.521,Medium,2.038,10.19,10.19,332,303,left,True,0.22,29,right,0,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.646,Good,Safe with minor inefficiencies
1829,72.4,141.0,Ion-A,7,8.25,0.73,4,0.34,2,0,green,14.0,0.553,Medium,1.045,5.22,5.22,357,31,right,True,0.34,34,right,2,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.661,Good,Safe with minor inefficiencies
1748,78.3,193.9,Fusion-B,2,1.83,0.19,1,0.85,2,0,green,54.3,0.373,Low,1.342,6.71,6.71,194,248,right,True,0.85,54,left,2,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.677,Good,Safe with minor inefficiencies
1767,72.3,256.8,Fusion-B,4,5.83,0.98,0,0.38,5,3,red,49.7,0.538,Medium,1.439,7.2,7.2,63,63,none,False,0.38,0,right,5,3,No threats detected,0.727,Good,Safe with minor inefficiencies
1480,73.2,239.0,Plasma-A,4,8.76,0.62,5,0.7,4,2,red,4.1,0.768,High,1.989,9.95,9.95,98,146,right,True,0.7,48,left,4,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.507,Risky,Moderate danger or cost detected
1446,49.1,186.3,Plasma-A,3,1.72,0.31,2,0.1,0,1,green,25.0,0.352,Low,1.804,9.02,9.02,194,170,left,True,0.1,24,,0,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.734,Good,Safe with minor inefficiencies
1864,65.4,198.4,Plasma-A,5,4.33,0.29,1,0.27,2,2,green,84.3,0.315,Low,1.547,7.73,7.73,343,312,left,True,0.27,31,,2,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.743,Good,Safe with minor inefficiencies
2118,64.4,167.4,Plasma-A,1,7.56,0.25,4,0.38,5,1,red,89.1,0.336,Low,1.76,8.8,8.8,125,160,right,True,0.38,35,left,5,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.717,Good,Safe with minor inefficiencies
1873,65.6,229.1,Fusion-B,4,7.16,0.86,5,0.78,5,4,green,20.6,0.544,Medium,1.435,7.18,7.18,350,41,right,True,0.78,51,,5,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.612,Good,Safe with minor inefficiencies
2186,41.3,190.5,Ion-A,3,3.41,0.29,0,0.94,2,3,yellow,78.9,0.427,Medium,2.711,13.55,13.55,33,33,none,False,0.94,0,left,2,3,No threats detected,0.721,Good,Safe with minor inefficiencies
1980,52.6,244.9,Plasma-A,5,4.56,0.92,1,0.46,5,3,yellow,23.8,0.573,Medium,2.542,12.71,12.71,329,7,right,True,0.46,38,right,5,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.585,Risky,Moderate danger or cost detected
1546,49.9,229.8,Fusion-B,2,3.36,0.63,1,0.9,5,4,red,35.9,0.584,Medium,1.715,8.58,8.58,134,190,right,True,0.9,56,right,5,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.573,Risky,Moderate danger or cost detected
1838,48.8,299.6,Plasma-A,6,5.59,0.18,2,0.05,1,1,red,9.9,0.55,Medium,2.792,13.96,13.96,252,230,left,True,0.05,22,left,1,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.619,Good,Safe with minor inefficiencies
2173,65.1,266.7,Ion-A,1,4.8,0.16,1,0.38,5,1,red,89.7,0.255,Low,0.971,4.85,4.85,216,251,right,True,0.38,35,right,5,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.781,Good,Safe with minor inefficiencies
1465,61.2,295.4,Fusion-B,6,8.75,0.11,4,0.72,3,4,yellow,61.4,0.574,Medium,1.152,5.76,5.76,283,234,left,True,0.72,49,left,3,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.615,Good,Safe with minor inefficiencies
2096,61.5,182.7,Plasma-A,1,6.77,0.2,5,0.43,4,2,red,40.8,0.414,Medium,2.134,10.67,10.67,174,211,right,True,0.43,37,left,4,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.667,Good,Safe with minor inefficiencies
1700,78.2,280.1,Fusion-B,2,3.37,0.55,3,0.18,0,5,red,82.1,0.414,Medium,1.562,7.81,7.81,134,107,left,True,0.18,27,right,0,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.712,Good,Safe with minor inefficiencies
2180,74.8,187.8,Ion-A,8,6.75,0.65,0,0.15,5,2,red,68.6,0.624,Medium,1.301,6.5,6.5,259,259,none,False,0.15,0,right,5,2,No threats detected,0.698,Good,Safe with minor inefficiencies
1603,61.6,264.6,Ion-A,5,5.77,0.1,1,0.32,4,4,green,1.8,0.344,Low,0.731,3.65,3.65,306,339,right,True,0.32,33,,4,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.76,Good,Safe with minor inefficiencies
1900,75.1,273.1,Ion-A,1,3.77,0.15,2,0.88,2,1,green,85.2,0.278,Low,0.951,4.75,4.75,123,178,right,True,0.88,55,right,2,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.729,Good,Safe with minor inefficiencies
1480,43.4,217.8,Ion-A,7,1.62,0.78,0,0.77,4,1,green,11.6,0.66,Medium,1.619,8.1,8.1,337,337,none,False,0.77,0,right,4,1,No threats detected,0.671,Good,Safe with minor inefficiencies
